a	 -a
ērosrànà	ē-r-os-ràn-à
ērossànà	ē-r-os-sàn-à
ērēnmànà	ē-r-ēn-màn-à
ērēnrànà	ē-r-ēn-ràn-à
ērēnsànà	ē-r-ēn-sàn-à
ērēsmànà	ē-r-ēs-màn-à
ērēsrànà	ē-r-ēs-ràn-à
ērēssànà	ē-r-ēs-sàn-à
ēredmànà	ē-r-ed-màn-à
ēredrànà	ē-r-ed-ràn-à
ēredsànà	ē-r-ed-sàn-à
gàrom	gà-r-om
gàror	gà-r-or
gàrà	gà-r-à
gàri	gà-r-i
gàrgàn	gà-r-gàn
gàrgàs	gà-r-gàs
gàre	gà-r-e
gàromi	gà-r-om-i
gàrori	gà-r-or-i
gàrgàk	gà-r-gàk
gàrik	gà-r-ik
gàrgàni	gà-r-gàn-i
gàrgàsi	gà-r-gàs-i
gàrgàdi	gà-r-gàd-i
gàromà	gà-r-om-à
gàrorà	gà-r-or-à
gàrgàyà	gà-r-gày-à
gàrīyà	gà-r-īy-à
gàrgànà	gà-r-gàn-à
gàrgàsà	gà-r-gàs-à
gàredà	gà-r-ed-à
gàromir	gà-r-om-ir
gàromis	gà-r-om-is
gàrorim	gà-r-or-im
gàroris	gà-r-or-is
gàrosim	gà-r-os-im
gàrosir	gà-r-os-ir
gàrosis	gà-r-os-is
gàrgànim	gà-r-gàn-im
gàrgànir	gà-r-gàn-ir
gàrgànis	gà-r-gàn-is
gàrgàsim	gà-r-gàs-im
gàrgàsir	gà-r-gàs-ir
gàrgàsis	gà-r-gàs-is
gàredim	gà-r-ed-im
gàredir	gà-r-ed-ir
gàredis	gà-r-ed-is
gàrommàn	gà-r-om-màn
gàromràn	gà-r-om-ràn
gàromsàn	gà-r-om-sàn
gàrormàn	gà-r-or-màn
gàrorràn	gà-r-or-ràn
gàrorsàn	gà-r-or-sàn
gàrosmàn	gà-r-os-màn
gàrosràn	gà-r-os-ràn
gàrossàn	gà-r-os-sàn
gàrgànmàn	gà-r-gàn-màn
gàrgànràn	gà-r-gàn-ràn
gàrgànsàn	gà-r-gàn-sàn
gàrgàsmàn	gà-r-gàs-màn
gàrgàsràn	gà-r-gàs-ràn
gàrgàssàn	gà-r-gàs-sàn
gàredmàn	gà-r-ed-màn
gàredràn	gà-r-ed-ràn
gàredsàn	gà-r-ed-sàn
gàromri	gà-r-om-r-i
gàromsi	gà-r-om-s-i
gàrormi	gà-r-or-m-i
gàrorsi	gà-r-or-s-i
gàrosmi	gà-r-os-m-i
gàrosri	gà-r-os-r-i
gàrossi	gà-r-os-s-i
gàrgànmi	gà-r-gàn-m-i
gàrgànri	gà-r-gàn-r-i
gàrgànsi	gà-r-gàn-s-i
gàrgàsmi	gà-r-gàs-m-i
gàrgàsri	gà-r-gàs-r-i
gàrgàssi	gà-r-gàs-s-i
gàredmi	gà-r-ed-m-i
gàredri	gà-r-ed-r-i
gàredsi	gà-r-ed-s-i
gàrommàni	gà-r-om-màn-i
gàromràni	gà-r-om-ràn-i
gàromsàni	gà-r-om-sàn-i
gàrormàni	gà-r-or-màn-i
gàrorràni	gà-r-or-ràn-i
gàrorsàni	gà-r-or-sàn-i
gàrosmàni	gà-r-os-màn-i
gàrosràni	gà-r-os-ràn-i
gàrossàni	gà-r-os-sàn-i
gàrgànmàni	gà-r-gàn-màn-i
gàrgànràni	gà-r-gàn-ràn-i
gàrgànsàni	gà-r-gàn-sàn-i
gàrgàsmàni	gà-r-gàs-màn-i
gàrgàsràni	gà-r-gàs-ràn-i
gàrgàssàni	gà-r-gàs-sàn-i
gàredmàni	gà-r-ed-màn-i
gàredràni	gà-r-ed-ràn-i
gàredsàni	gà-r-ed-sàn-i
gàromrà	gà-r-om-r-à
gàromsà	gà-r-om-s-à
gàrormà	gà-r-or-m-à
gàrorsà	gà-r-or-s-à
gàrosmà	gà-r-os-m-à
gàrosrà	gà-r-os-r-à
gàrossà	gà-r-os-s-à
gàrgànmà	gà-r-gàn-m-à
gàrgànrà	gà-r-gàn-r-à
gàrgànsà	gà-r-gàn-s-à
gàrgàsmà	gà-r-gàs-m-à
gàrgàsrà	gà-r-gàs-r-à
gàrgàssà	gà-r-gàs-s-à
gàredmà	gà-r-ed-m-à
gàredrà	gà-r-ed-r-à
gàredsà	gà-r-ed-s-à
gàrommànà	gà-r-om-màn-à
gàromrànà	gà-r-om-ràn-à
gàromsànà	gà-r-om-sàn-à
gàrormànà	gà-r-or-màn-à
gàrorrànà	gà-r-or-ràn-à
gàrorsànà	gà-r-or-sàn-à
gàrosmànà	gà-r-os-màn-à
gàrosrànà	gà-r-os-ràn-à
gàrossànà	gà-r-os-sàn-à
gàrgànmànà	gà-r-gàn-màn-à
gàrgànrànà	gà-r-gàn-ràn-à
gàrgànsànà	gà-r-gàn-sàn-à
gàrgàsmànà	gà-r-gàs-màn-à
gàrgàsrànà	gà-r-gàs-ràn-à
gàrgàssànà	gà-r-gàs-sàn-à
gàredmànà	gà-r-ed-màn-à
gàredrànà	gà-r-ed-ràn-à
gàredsànà	gà-r-ed-sàn-à
hrà	- -h-r-à
hromà	- -h-r-om-à
hrorà	- -h-r-or-à
hrēyà	- -h-r-ēy-à
hrīyà	- -h-r-īy-à
hrēsà	- -h-r-ēs-à
hrēdà	- -h-r-ēd-à
kānàt	kānàt
kunnà	kunnà
ṣāràt	ṣāràt
xàllīni	xàllī-ni
xàllīk	xàllī-k
xàllīki	xàllī-ki
xàllīh	xàllī-h
xàllīhā	xàllī-hā
xàllīnā	xàllī-nā
xàllīkum	xàllī-kum
xàllīhom	xàllī-hom
bàqēt	bàqēt
bàqētī	bàqētī
bàqà	bàqà
bàqàt	bàqàt
bàqēnā	bàqēnā
bàqētū	bàqētū
bàqū	bàqū
ḍàllēnī	ḍàllē-nī
ḍàllēni	ḍàllē-ni
ḍàllēt	ḍàllē-t
ḍàllēttī	ḍàllē-ttī
ḍàllo	ḍàll-o
ḍàllhā	ḍàll-hā
ḍàllētnà	ḍàllēt-nà
ḍàllētkū	ḍàllēt-kū
ḍàllhom	ḍàll-hom
innàk	inn-àk
ōmtà	 -ō-m-tà
ōrtà	 -ō-r-tà
ōstà	 -ō-s-tà
ōmàntà	 -ō-màn-tà
ōràntà	 -ō-ràn-tà
ōsàntà	 -ō-sàn-tà
ōmànki	 -ō-màn-ki
ōrànki	 -ō-ràn-ki
ōsànki	 -ō-sàn-ki
ōmmà	 -ō-m-mà
ōrmà	 -ō-r-mà
ōsmà	 -ō-s-mà
ōmànmà	 -ō-màn-mà
ōrànmà	 -ō-ràn-mà
ōsànmà	 -ō-sàn-mà
ōmkà	 -ō-m-kà
ōrkà	 -ō-r-kà
ōskà	 -ō-s-kà
ōmànkà	 -ō-màn-kà
ōrànkà	 -ō-ràn-kà
ōsànkà	 -ō-sàn-kà
ōmànke	 -ō-màn-ke
ōrànke	 -ō-ràn-ke
ōsànke	 -ō-sàn-ke
àbōmke	àb-ōm-ke
àbōrke	àb-ōr-ke
àbōske	àb-ōs-ke
àbōmkà	àb-ōm-kà
àbōrkà	àb-ōr-kà
àbōskà	àb-ōs-kà
ōmsàn	 -ō-m-sàn
ōrsàn	 -ō-r-sàn
ōssàn	 -ō-s-sàn
ōmànsàn	 -ō-màn-sàn
ōrànsàn	 -ō-ràn-sàn
ōsànsàn	 -ō-sàn-sàn
ōmàn	 -ō-màn
ōràn	 -ō-ràn
ōsàn	 -ō-sàn
ōmàni	 -ō-màn-i
ōràni	 -ō-ràn-i
ōsàni	 -ō-sàn-i
ōmà	- -ōm-à
ōrà	- -ōr-à
ōnà	- -ōn-à
ōsà	- -ōs-à
ōndà	- -ōnd-à
ōdà	- -ōd-à
ōmmàn	- -ōm-màn
ōmràn	- -ōm-ràn
ōmsàn	- -ōm-sàn
ōmàn	- -ō-màn
ōràn	- -ō-ràn
ōsàn	- -ō-sàn
ōrmàn	- -ōr-màn
ōrràn	- -ōr-ràn
ōrsàn	- -ōr-sàn
ōnràn	- -ōn-ràn
ōnsàn	- -ōn-sàn
ōsmàn	- -ōs-màn
ōsràn	- -ōs-ràn
ōssàn	- -ōs-sàn
ōdmàn	- -ōd-màn
ōdràn	- -ōd-ràn
ōdsàn	- -ōd-sàn
ōmmàni	- -ōm-màn-i
ōmràni	- -ōm-ràn-i
ōmsàni	- -ōm-sàn-i
ōmàni	- -ō-màn-i
ōràni	- -ō-ràn-i
ōsàni	- -ō-sàn-i
ōrmàni	- -ōr-màn-i
ōrràni	- -ōr-ràn-i
ōrsàni	- -ōr-sàn-i
ōnràni	- -ōn-ràn-i
ōnsàni	- -ōn-sàn-i
ōsmàni	- -ōs-màn-i
ōsràni	- -ōs-ràn-i
ōssàni	- -ōs-sàn-i
ōdmàni	- -ōd-màn-i
ōdràni	- -ōd-ràn-i
ōdsàni	- -ōd-sàn-i
ōmirà	- -ōm-ir-à
ōmisà	- -ōm-is-à
ōmmànà	- -ōm-màn-à
ōmrànà	- -ōm-ràn-à
ōmsànà	- -ōm-sàn-à
ōmà	- -ō-m-à
ōsà	- -ō-s-à
ōmànà	- -ō-màn-à
ōrànà	- -ō-ràn-à
ōsànà	- -ō-sàn-à
ōrmà	- -ōr-m-à
ōrrà	- -ōr-r-à
ōrsà	- -ōr-s-à
ōrmànà	- -ōr-màn-à
ōrrànà	- -ōr-ràn-à
ōrsànà	- -ōr-sàn-à
ōnmà	- -ōn-m-à
ōnrà	- -ōn-r-à
ōnsà	- -ōn-s-à
ōnrànà	- -ōn-ràn-à
ōnsànà	- -ōn-sàn-à
ōsmà	- -ōs-m-à
ōsrà	- -ōs-r-à
ōssà	- -ōs-s-à
ōsmànà	- -ōs-màn-à
ōsrànà	- -ōs-ràn-à
ōssànà	- -ōs-sàn-à
ōdmà	- -ōd-m-à
ōdrà	- -ōd-r-à
ōdsà	- -ōd-s-à
ōdmànà	- -ōd-màn-à
ōdrànà	- -ōd-ràn-à
ōdsànà	- -ōd-sàn-à
dōmà	- -d-ōm-à
dōrà	- -d-ōr-à
dōmmàn	- -d-ōm-màn
dōmràn	- -d-ōm-ràn
dōmsàn	- -d-ōm-sàn
dōrmàn	- -d-ōr-màn
dōrràn	- -d-ōr-ràn
dōrsàn	- -d-ōr-sàn
dōsmàn	- -d-ōs-màn
dōsràn	- -d-ōs-ràn
dōssàn	- -d-ōs-sàn
dōmmàni	- -d-ōm-màn-i
dōmràni	- -d-ōm-ràn-i
dōmsàni	- -d-ōm-sàn-i
dōrmàni	- -d-ōr-màn-i
dōrràni	- -d-ōr-ràn-i
dōrsàni	- -d-ōr-sàn-i
dōsmàni	- -d-ōs-màn-i
dōsràni	- -d-ōs-ràn-i
dōssàni	- -d-ōs-sàn-i
dōmrà	- -d-ōm-r-à
dōmsà	- -d-ōm-s-à
dōrmà	- -d-ōr-m-à
dōrsà	- -d-ōr-s-à
dōsmà	- -d-ōs-m-à
dōsrà	- -d-ōs-r-à
dōssà	- -d-ōs-s-à
dōmmànà	- -d-ōm-màn-à
dōmrànà	- -d-ōm-ràn-à
dōmsànà	- -d-ōm-sàn-à
dōrmànà	- -d-ōr-màn-à
dōrrànà	- -d-ōr-ràn-à
dōrsànà	- -d-ōr-sàn-à
dōsmànà	- -d-ōs-màn-à
dōsrànà	- -d-ōs-ràn-à
dōssànà	- -d-ōs-sàn-à
idōmà	- -id-ōm-à
idōrà	- -id-ōr-à
idōmmàn	- -id-ōm-màn
idōmràn	- -id-ōm-ràn
idōmsàn	- -id-ōm-sàn
idōrmàn	- -id-ōr-màn
idōrràn	- -id-ōr-ràn
idōrsàn	- -id-ōr-sàn
idōsmàn	- -id-ōs-màn
idōsràn	- -id-ōs-ràn
idōssàn	- -id-ōs-sàn
idōmmàni	- -id-ōm-màn-i
idōmràni	- -id-ōm-ràn-i
idōmsàni	- -id-ōm-sàn-i
idōrmàni	- -id-ōr-màn-i
idōrràni	- -id-ōr-ràn-i
idōrsàni	- -id-ōr-sàn-i
idōsmàni	- -id-ōs-màn-i
idōsràni	- -id-ōs-ràn-i
idōssàni	- -id-ōs-sàn-i
idōmrà	- -id-ōm-r-à
idōmsà	- -id-ōm-s-à
idōrmà	- -id-ōr-m-à
idōrsà	- -id-ōr-s-à
idōsmà	- -id-ōs-m-à
idōsrà	- -id-ōs-r-à
idōssà	- -id-ōs-s-à
idōmmànà	- -id-ōm-màn-à
idōmrànà	- -id-ōm-ràn-à
idōmsànà	- -id-ōm-sàn-à
idōrmànà	- -id-ōr-màn-à
idōrrànà	- -id-ōr-ràn-à
idōrsànà	- -id-ōr-sàn-à
idōsmànà	- -id-ōs-màn-à
idōsrànà	- -id-ōs-ràn-à
idōssànà	- -id-ōs-sàn-à
irdōmà	- -ird-ōm-à
irdōrà	- -ird-ōr-à
irdōmmàn	- -ird-ōm-màn
irdōmràn	- -ird-ōm-ràn
irdōmsàn	- -ird-ōm-sàn
irdōrmàn	- -ird-ōr-màn
irdōrràn	- -ird-ōr-ràn
irdōrsàn	- -ird-ōr-sàn
irdōsmàn	- -ird-ōs-màn
irdōsràn	- -ird-ōs-ràn
irdōssàn	- -ird-ōs-sàn
irdōmmàni	- -ird-ōm-màn-i
irdōmràni	- -ird-ōm-ràn-i
irdōmsàni	- -ird-ōm-sàn-i
irdōrmàni	- -ird-ōr-màn-i
irdōrràni	- -ird-ōr-ràn-i
irdōrsàni	- -ird-ōr-sàn-i
irdōsmàni	- -ird-ōs-màn-i
irdōsràni	- -ird-ōs-ràn-i
irdōssàni	- -ird-ōs-sàn-i
irdōmrà	- -ird-ōm-r-à
irdōmsà	- -ird-ōm-s-à
irdōrmà	- -ird-ōr-m-à
irdōrsà	- -ird-ōr-s-à
irdōsmà	- -ird-ōs-m-à
irdōsrà	- -ird-ōs-r-à
irdōssà	- -ird-ōs-s-à
irdōmmànà	- -ird-ōm-màn-à
irdōmrànà	- -ird-ōm-ràn-à
irdōmsànà	- -ird-ōm-sàn-à
irdōrmànà	- -ird-ōr-màn-à
irdōrrànà	- -ird-ōr-ràn-à
irdōrsànà	- -ird-ōr-sàn-à
irdōsmànà	- -ird-ōs-màn-à
irdōsrànà	- -ird-ōs-ràn-à
irdōssànà	- -ird-ōs-sàn-à
indōmà	- -ind-ōm-à
indōrà	- -ind-ōr-à
indōmmàn	- -ind-ōm-màn
indōmràn	- -ind-ōm-ràn
indōmsàn	- -ind-ōm-sàn
indōrmàn	- -ind-ōr-màn
indōrràn	- -ind-ōr-ràn
indōrsàn	- -ind-ōr-sàn
indōsmàn	- -ind-ōs-màn
indōsràn	- -ind-ōs-ràn
indōssàn	- -ind-ōs-sàn
indōmmàni	- -ind-ōm-màn-i
indōmràni	- -ind-ōm-ràn-i
indōmsàni	- -ind-ōm-sàn-i
indōrmàni	- -ind-ōr-màn-i
indōrràni	- -ind-ōr-ràn-i
indōrsàni	- -ind-ōr-sàn-i
indōsmàni	- -ind-ōs-màn-i
indōsràni	- -ind-ōs-ràn-i
indōssàni	- -ind-ōs-sàn-i
indōmrà	- -ind-ōm-r-à
indōmsà	- -ind-ōm-s-à
indōrmà	- -ind-ōr-m-à
indōrsà	- -ind-ōr-s-à
indōsmà	- -ind-ōs-m-à
indōsrà	- -ind-ōs-r-à
indōssà	- -ind-ōs-s-à
indōmmànà	- -ind-ōm-màn-à
indōmrànà	- -ind-ōm-ràn-à
indōmsànà	- -ind-ōm-sàn-à
indōrmànà	- -ind-ōr-màn-à
indōrrànà	- -ind-ōr-ràn-à
indōrsànà	- -ind-ōr-sàn-à
indōsmànà	- -ind-ōs-màn-à
indōsrànà	- -ind-ōs-ràn-à
indōssànà	- -ind-ōs-sàn-à
kedōmmàn	- -k-ed-ōm-màn
kedōmràn	- -k-ed-ōm-ràn
kedōmsàn	- -k-ed-ōm-sàn
kedōrmàn	- -k-ed-ōr-màn
kedōrràn	- -k-ed-ōr-ràn
kedōrsàn	- -k-ed-ōr-sàn
kedōsmàn	- -k-ed-ōs-màn
kedōsràn	- -k-ed-ōs-ràn
kedōssàn	- -k-ed-ōs-sàn
kedōmmàni	- -k-ed-ōm-màn-i
kedōmràni	- -k-ed-ōm-ràn-i
kedōmsàni	- -k-ed-ōm-sàn-i
kedōrmàni	- -k-ed-ōr-màn-i
kedōrràni	- -k-ed-ōr-ràn-i
kedōrsàni	- -k-ed-ōr-sàn-i
kedōsmàni	- -k-ed-ōs-màn-i
kedōsràni	- -k-ed-ōs-ràn-i
kedōssàni	- -k-ed-ōs-sàn-i
kedōmrà	- -k-ed-ōm-r-à
kedōmsà	- -k-ed-ōm-s-à
kedōrmà	- -k-ed-ōr-m-à
kedōrsà	- -k-ed-ōr-s-à
kedōsmà	- -k-ed-ōs-m-à
kedōsrà	- -k-ed-ōs-r-à
kedōssà	- -k-ed-ōs-s-à
kedōmmànà	- -k-ed-ōm-màn-à
kedōmrànà	- -k-ed-ōm-ràn-à
kedōmsànà	- -k-ed-ōm-sàn-à
kedōrmànà	- -k-ed-ōr-màn-à
kedōrrànà	- -k-ed-ōr-ràn-à
kedōrsànà	- -k-ed-ōr-sàn-à
kedōsmànà	- -k-ed-ōs-màn-à
kedōsrànà	- -k-ed-ōs-ràn-à
kedōssànà	- -k-ed-ōs-sàn-à
nàwidōm	- -nàw-id-ōm
nàwidōr	- -nàw-id-ōr
nàwidōmir	- -nàw-id-ōm-ir
nàwidōmis	- -nàw-id-ōm-is
nàwidōrim	- -nàw-id-ōr-im
nàwidōris	- -nàw-id-ōr-is
nàwidōsim	- -nàw-id-ōs-im
nàwidōsir	- -nàw-id-ōs-ir
nàwidōsis	- -nàw-id-ōs-is
nàwidōmmàn	- -nàw-id-ōm-màn
nàwidōmràn	- -nàw-id-ōm-ràn
nàwidōmsàn	- -nàw-id-ōm-sàn
nàwidōrmàn	- -nàw-id-ōr-màn
nàwidōrràn	- -nàw-id-ōr-ràn
nàwidōrsàn	- -nàw-id-ōr-sàn
nàwidōsmàn	- -nàw-id-ōs-màn
nàwidōsràn	- -nàw-id-ōs-ràn
nàwidōssàn	- -nàw-id-ōs-sàn
nàwidōmri	- -nàw-id-ōm-r-i
nàwidōmsi	- -nàw-id-ōm-s-i
nàwidōrmi	- -nàw-id-ōr-m-i
nàwidōrsi	- -nàw-id-ōr-s-i
nàwidōsmi	- -nàw-id-ōs-m-i
nàwidōsri	- -nàw-id-ōs-r-i
nàwidōssi	- -nàw-id-ōs-s-i
nàwidōmmàni	- -nàw-id-ōm-màn-i
nàwidōmràni	- -nàw-id-ōm-ràn-i
nàwidōmsàni	- -nàw-id-ōm-sàn-i
nàwidōrmàni	- -nàw-id-ōr-màn-i
nàwidōrràni	- -nàw-id-ōr-ràn-i
nàwidōrsàni	- -nàw-id-ōr-sàn-i
nàwidōsmàni	- -nàw-id-ōs-màn-i
nàwidōsràni	- -nàw-id-ōs-ràn-i
nàwidōssàni	- -nàw-id-ōs-sàn-i
nàwidōmrà	- -nàw-id-ōm-r-à
nàwidōmsà	- -nàw-id-ōm-s-à
nàwidōrmà	- -nàw-id-ōr-m-à
nàwidōrsà	- -nàw-id-ōr-s-à
nàwidōsmà	- -nàw-id-ōs-m-à
nàwidōsrà	- -nàw-id-ōs-r-à
nàwidōssà	- -nàw-id-ōs-s-à
nàwidōmmànà	- -nàw-id-ōm-màn-à
nàwidōmrànà	- -nàw-id-ōm-ràn-à
nàwidōmsànà	- -nàw-id-ōm-sàn-à
nàwidōrmànà	- -nàw-id-ōr-màn-à
nàwidōrrànà	- -nàw-id-ōr-ràn-à
nàwidōrsànà	- -nàw-id-ōr-sàn-à
nàwidōsmànà	- -nàw-id-ōs-màn-à
nàwidōsrànà	- -nàw-id-ōs-ràn-à
nàwidōssànà	- -nàw-id-ōs-sàn-à
rōmà	- -r-ōm-à
rōrà	- -r-ōr-à
rōmmàn	- -r-ōm-màn
rōmràn	- -r-ōm-ràn
rōmsàn	- -r-ōm-sàn
rōrmàn	- -r-ōr-màn
rōrràn	- -r-ōr-ràn
rōrsàn	- -r-ōr-sàn
rōsmàn	- -r-ōs-màn
rōsràn	- -r-ōs-ràn
rōssàn	- -r-ōs-sàn
rōmmàni	- -r-ōm-màn-i
rōmràni	- -r-ōm-ràn-i
rōmsàni	- -r-ōm-sàn-i
rōrmàni	- -r-ōr-màn-i
rōrràni	- -r-ōr-ràn-i
rōrsàni	- -r-ōr-sàn-i
rōsmàni	- -r-ōs-màn-i
rōsràni	- -r-ōs-ràn-i
rōssàni	- -r-ōs-sàn-i
rōmrà	- -r-ōm-r-à
rōmsà	- -r-ōm-s-à
rōrmà	- -r-ōr-m-à
rōrsà	- -r-ōr-s-à
rōsmà	- -r-ōs-m-à
rōsrà	- -r-ōs-r-à
rōssà	- -r-ōs-s-à
rōmmànà	- -r-ōm-màn-à
rōmrànà	- -r-ōm-ràn-à
rōmsànà	- -r-ōm-sàn-à
rōrmànà	- -r-ōr-màn-à
rōrrànà	- -r-ōr-ràn-à
rōrsànà	- -r-ōr-sàn-à
rōsmànà	- -r-ōs-màn-à
rōsrànà	- -r-ōs-ràn-à
rōssànà	- -r-ōs-sàn-à
irōmà	- -ir-ōm-à
irōrà	- -ir-ōr-à
irōmmàn	- -ir-ōm-màn
irōmràn	- -ir-ōm-ràn
irōmsàn	- -ir-ōm-sàn
irōrmàn	- -ir-ōr-màn
irōrràn	- -ir-ōr-ràn
irōrsàn	- -ir-ōr-sàn
irōsmàn	- -ir-ōs-màn
irōsràn	- -ir-ōs-ràn
irōssàn	- -ir-ōs-sàn
irōmmàni	- -ir-ōm-màn-i
irōmràni	- -ir-ōm-ràn-i
irōmsàni	- -ir-ōm-sàn-i
irōrmàni	- -ir-ōr-màn-i
irōrràni	- -ir-ōr-ràn-i
irōrsàni	- -ir-ōr-sàn-i
irōsmàni	- -ir-ōs-màn-i
irōsràni	- -ir-ōs-ràn-i
irōssàni	- -ir-ōs-sàn-i
irōmrà	- -ir-ōm-r-à
irōmsà	- -ir-ōm-s-à
irōrmà	- -ir-ōr-m-à
irōrsà	- -ir-ōr-s-à
irōsmà	- -ir-ōs-m-à
irōsrà	- -ir-ōs-r-à
irōssà	- -ir-ōs-s-à
irōmmànà	- -ir-ōm-màn-à
irōmrànà	- -ir-ōm-ràn-à
irōmsànà	- -ir-ōm-sàn-à
irōrmànà	- -ir-ōr-màn-à
irōrrànà	- -ir-ōr-ràn-à
irōrsànà	- -ir-ōr-sàn-à
irōsmànà	- -ir-ōs-màn-à
irōsrànà	- -ir-ōs-ràn-à
irōssànà	- -ir-ōs-sàn-à
īrōmà	- -ī-r-ōm-à
īrōrà	- -ī-r-ōr-à
tōmà	t-ōm-à
tōrà	t-ōr-à
tōmmàn	t-ōm-màn
tōmràn	t-ōm-ràn
tōmsàn	t-ōm-sàn
tōrmàn	t-ōr-màn
tōrràn	t-ōr-ràn
tōrsàn	t-ōr-sàn
tōsmàn	t-ōs-màn
tōsràn	t-ōs-ràn
tōssàn	t-ōs-sàn
tōmmàni	t-ōm-màn-i
tōmràni	t-ōm-ràn-i
tōmsàni	t-ōm-sàn-i
tōrmàni	t-ōr-màn-i
tōrràni	t-ōr-ràn-i
tōrsàni	t-ōr-sàn-i
tōsmàni	t-ōs-màn-i
tōsràni	t-ōs-ràn-i
tōssàni	t-ōs-sàn-i
tōmrà	t-ōm-r-à
tōmsà	t-ōm-s-à
tōrmà	t-ōr-m-à
tōrsà	t-ōr-s-à
tōsmà	t-ōs-m-à
tōsrà	t-ōs-r-à
tōssà	t-ōs-s-à
tōmmànà	t-ōm-màn-à
tōmrànà	t-ōm-ràn-à
tōmsànà	t-ōm-sàn-à
tōrmànà	t-ōr-màn-à
tōrrànà	t-ōr-ràn-à
tōrsànà	t-ōr-sàn-à
tōsmànà	t-ōs-màn-à
tōsrànà	t-ōs-ràn-à
tōssànà	t-ōs-sàn-à
ērōmà	ē-r-ōm-à
ērōrà	ē-r-ōr-à
ērōmmàn	ē-r-ōm-màn
ērōmràn	ē-r-ōm-ràn
ērōmsàn	ē-r-ōm-sàn
ērōrmàn	ē-r-ōr-màn
ērōrràn	ē-r-ōr-ràn
ērōrsàn	ē-r-ōr-sàn
ērōsmàn	ē-r-ōs-màn
ērōsràn	ē-r-ōs-ràn
ērōssàn	ē-r-ōs-sàn
ērōmmàni	ē-r-ōm-màn-i
ērōmràni	ē-r-ōm-ràn-i
ērōmsàni	ē-r-ōm-sàn-i
ērōrmàni	ē-r-ōr-màn-i
ērōrràni	ē-r-ōr-ràn-i
ērōrsàni	ē-r-ōr-sàn-i
ērōsmàni	ē-r-ōs-màn-i
ērōsràni	ē-r-ōs-ràn-i
ērōssàni	ē-r-ōs-sàn-i
ērōmrà	ē-r-ōm-r-à
ērōmsà	ē-r-ōm-s-à
ērōrmà	ē-r-ōr-m-à
ērōrsà	ē-r-ōr-s-à
ērōsmà	ē-r-ōs-m-à
ērōsrà	ē-r-ōs-r-à
ērōssà	ē-r-ōs-s-à
ērōmmànà	ē-r-ōm-màn-à
ērōmrànà	ē-r-ōm-ràn-à
ērōmsànà	ē-r-ōm-sàn-à
ērōrmànà	ē-r-ōr-màn-à
ērōrrànà	ē-r-ōr-ràn-à
ērōrsànà	ē-r-ōr-sàn-à
ērōsmànà	ē-r-ōs-màn-à
ērōsrànà	ē-r-ōs-ràn-à
ērōssànà	ē-r-ōs-sàn-à
gàrōm	gà-r-ōm
gàrōr	gà-r-ōr
gàrōmi	gà-r-ōm-i
gàrōri	gà-r-ōr-i
gàrōmà	gà-r-ōm-à
gàrōrà	gà-r-ōr-à
gàrōmir	gà-r-ōm-ir
gàrōmis	gà-r-ōm-is
gàrōrim	gà-r-ōr-im
gàrōris	gà-r-ōr-is
gàrōsim	gà-r-ōs-im
gàrōsir	gà-r-ōs-ir
gàrōsis	gà-r-ōs-is
gàrōmmàn	gà-r-ōm-màn
gàrōmràn	gà-r-ōm-ràn
gàrōmsàn	gà-r-ōm-sàn
gàrōrmàn	gà-r-ōr-màn
gàrōrràn	gà-r-ōr-ràn
gàrōrsàn	gà-r-ōr-sàn
gàrōsmàn	gà-r-ōs-màn
gàrōsràn	gà-r-ōs-ràn
gàrōssàn	gà-r-ōs-sàn
gàrōmri	gà-r-ōm-r-i
gàrōmsi	gà-r-ōm-s-i
gàrōrmi	gà-r-ōr-m-i
gàrōrsi	gà-r-ōr-s-i
gàrōsmi	gà-r-ōs-m-i
gàrōsri	gà-r-ōs-r-i
gàrōssi	gà-r-ōs-s-i
gàrōmmàni	gà-r-ōm-màn-i
gàrōmràni	gà-r-ōm-ràn-i
gàrōmsàni	gà-r-ōm-sàn-i
gàrōrmàni	gà-r-ōr-màn-i
gàrōrràni	gà-r-ōr-ràn-i
gàrōrsàni	gà-r-ōr-sàn-i
gàrōsmàni	gà-r-ōs-màn-i
gàrōsràni	gà-r-ōs-ràn-i
gàrōssàni	gà-r-ōs-sàn-i
gàrōmrà	gà-r-ōm-r-à
gàrōmsà	gà-r-ōm-s-à
gàrōrmà	gà-r-ōr-m-à
gàrōrsà	gà-r-ōr-s-à
gàrōsmà	gà-r-ōs-m-à
gàrōsrà	gà-r-ōs-r-à
gàrōssà	gà-r-ōs-s-à
gàrōmmànà	gà-r-ōm-màn-à
gàrōmrànà	gà-r-ōm-ràn-à
gàrōmsànà	gà-r-ōm-sàn-à
gàrōrmànà	gà-r-ōr-màn-à
gàrōrrànà	gà-r-ōr-ràn-à
gàrōrsànà	gà-r-ōr-sàn-à
gàrōsmànà	gà-r-ōs-màn-à
gàrōsrànà	gà-r-ōs-ràn-à
gàrōssànà	gà-r-ōs-sàn-à
hrōmà	- -h-r-ōm-à
hrōrà	- -h-r-ōr-à
xàllīhōm	xàllī-hōm
ḍàllō	ḍàll-ō
ḍàllhōm	ḍàll-hōm
ŭmtà	 -ŭ-m-tà
ŭrtà	 -ŭ-r-tà
ŭstà	 -ŭ-s-tà
